Name,Age,Gender,Height (cm),Weight (kg),Body Type,Face Shape,Skin Tone,Dressing Style,Favorite Fashion Colors 1,Favorite Fashion Colors 2,Red Carpet Outfits 1,Red Carpet Outfits 2
Deepika Padukone,38,Female,174,55,Hourglass,Oval,Fair,Glamorous,Neutrals, Pastels,Elegant gowns, designer lehengas
Shah Rukh Khan,58,Male,175,65,Rectangle,Oval,Medium,Classic,Earth tones, Black,Suits, stylish traditional outfits
Priyanka Chopra,41,Female,169,55,Hourglass,Oval,Medium,Bold,Jewel tones, Monochrome,Bold gowns, statement jewelry
Ranveer Singh,38,Male,178,70,Inverted Triangle,Square,Medium,Bold,Bright colors, Patterns,Quirky suits, designer outfits
Kareena Kapoor,43,Female,163,55,Hourglass,Heart,Fair,Elegant,Neutrals, Pink,Stylish lehengas, classic gowns
Hrithik Roshan,50,Male,180,85,Rectangle,Square,Fair,Classic,Blue, Earth tones,Suits, stylish kurtas
Alia Bhatt,31,Female,160,50,Pear-shaped,Round,Fair,Minimalist,Pastels, Bright colors,Trendy gowns, chic dresses
Salman Khan,58,Male,175,75,Rectangle,Square,Medium,Classic,Neutral tones,, casual traditional outfits,Suits
Aishwarya Rai,49,Female,170,58,Hourglass,Oval,Fair,Glamorous,Gold, Red,Elegant gowns, classic sarees
Akshay Kumar,56,Male,178,80,Rectangle,Square,Medium,Classic,Earth tones, Blue,Suits, casual kurtas
Kriti Sanon,33,Female,178,60,Hourglass,Oval,Medium,Minimalist,Neutrals, Bright colors,Stylish dresses, elegant gowns
Varun Dhawan,37,Male,175,72,Rectangle,Square,Medium,Bold,Bright colors,, casual outfits,Trendy suits
Shraddha Kapoor,37,Female,165,55,Pear-shaped,Heart,Fair,Elegant,Pastels, Bright colors,Stylish gowns, casual dresses
John Abraham,51,Male,182,85,Inverted Triangle,Square,Medium,Classic,Earth tones,, casual wear,Stylish suits
Kangana Ranaut,37,Female,165,55,Hourglass,Heart,Fair,Bold,Bright colors, Monochrome,Trendy lehengas, statement outfits
Siddharth Malhotra,39,Male,183,75,Rectangle,Square,Fair,Classic,Blue, Earth tones,Suits, stylish casual wear
Sonam Kapoor,38,Female,178,60,Hourglass,Oval,Fair,Glamorous,Jewel tones, Neutrals,Elegant gowns, traditional outfits
Amitabh Bachchan,81,Male,183,75,Rectangle,Square,Medium,Classic,Earth tones,, traditional wear,Suits
Taapsee Pannu,36,Female,168,57,Hourglass,Oval,Medium,Bold,Bright colors, Monochrome,Stylish dresses, elegant gowns
Shahid Kapoor,43,Male,174,70,Inverted Triangle,Square,Fair,Classic,Neutral tones,, casual wear,Trendy suits
Madhuri Dixit,56,Female,160,54,Hourglass,Oval,Fair,Glamorous,Jewel tones, Neutrals,Elegant sarees, stylish gowns
Rani Mukerji,46,Female,157,60,Pear-shaped,Round,Medium,Classic,Earth tones, Pastels,Stylish sarees, elegant dresses
Esha Gupta,37,Female,175,55,Inverted Triangle,Oval,Medium,Bold,Bright colors, Monochrome,Trendy gowns, casual wear
Shilpa Shetty,48,Female,174,60,Hourglass,Oval,Medium,Glamorous,Jewel tones, Neutrals,Elegant gowns, stylish outfits
Arjun Kapoor,38,Male,183,65,Rectangle,Square,Medium,Classic,Earth tones,, stylish traditional outfits,Suits
Neha Dhupia,43,Female,168,63,Hourglass,Oval,Medium,Elegant,Neutrals, Bright colors,Trendy gowns, stylish dresses
Tiger Shroff,34,Male,178,65,Rectangle,Square,Fair,Bold,Bright colors, Earth tones,Casual wear, stylish outfits
Genelia D'Souza,36,Female,160,50,Pear-shaped,Heart,Fair,Minimalist,Pastels, Bright colors,Trendy dresses, elegant gowns
Bhuvan Bam,29,Male,178,70,Rectangle,Square,Medium,Bold,Bright colors,, trendy outfits,Casual wear
Pooja Hegde,33,Female,170,55,Hourglass,Oval,Medium,Elegant,Jewel tones, Pastels,Stylish gowns, trendy outfits
Nushrat Bharucha,38,Female,160,50,Hourglass,Heart,Fair,Bold,Bright colors,, elegant gowns,Trendy dresses
Vidya Balan,45,Female,163,70,Hourglass,Round,Medium,Elegant,Earth tones, Neutrals,Stylish sarees, elegant outfits
Ritesh Deshmukh,45,Male,168,70,Rectangle,Square,Medium,Classic,Earth tones,, stylish outfits,Casual wear
